====================================================================================================================
This README describes the versions of the components found in the cumulative firmware and driver update package.
====================================================================================================================

Device(s): Surface Laptop 3

====================================================================================================================
List of Included Firmware and Drivers
====================================================================================================================

Class              InfName                                 Version         Date
-----              -------                                 -------         ----
Battery            SurfaceBattery.inf                      1.60.139.0      08/22/2019
Bluetooth          ibtusb.inf                              22.230.0.2      04/26/2023
Display            iigd_dch.inf                            31.0.101.2125   05/24/2023
Extension          DevicesTelemetryServiceDriver.inf       6.196.139.0     02/16/2023
Extension          HdBusExt.inf                            31.0.101.2125   05/24/2023
Extension          iigd_ext_av.inf                         31.0.101.2125   05/24/2023
Extension          IntcOED_OemLibPathExt.inf               10.24.245.1     01/19/2023
Extension          OemExtension.inf                        1952.14.0.1470  12/25/2019
Extension          RealtekExt.inf                          6.1.0.16        08/17/2021
Extension          SurfaceDigitizerVirtualFunctionEnum.inf 1.13.139.0      08/05/2019
Extension          SurfaceDock2FwUpdate.inf                6.13.137.0      11/22/2022
Extension          SurfaceHIDFriendlyNames.inf             1.8.137.0       08/10/2019
Extension          SurfacePowerFilter.inf                  1.39.139.0      08/22/2019
Extension          SurfaceTouchPenProcessorUpdate.inf      3.208.137.0     02/22/2021
Extension          SurfaceTouchPenProcessorUpdate.inf      3.208.137.0     02/22/2021
Firmware           SurfaceCFUOverHid.inf                   2.49.139.0      07/27/2019
Firmware           SurfaceKIP.inf                          14.204.139.0    01/27/2021
Firmware           SurfaceME.inf                           13.0.2376.2     07/19/2023
Firmware           SurfacePD.inf                           3.6.1.0         07/24/2019
Firmware           SurfaceRETIMER.inf                      0.42.0.0        03/27/2021
Firmware           SurfaceSAM.inf                          14.800.139.0    07/25/2023
Firmware           SurfaceStorageFwUpdate.inf              5.34.139.0      07/28/2019
Firmware           SurfaceTCON.inf                         160.35.13.0     06/13/2019
Firmware           SurfaceTCON.inf                         160.35.15.0     06/13/2019
Firmware           SurfaceThunderbolt4DockFwUpdate.inf     2.26.4.0        03/03/2023
Firmware           SurfaceTouchFw.inf                      3.0.213.139     08/21/2019
Firmware           SurfaceTouchFw.inf                      3.0.213.139     08/21/2019
Firmware           SurfaceTPM.inf                          7.2.2.0         12/03/2020
Firmware           SurfaceUEFI.inf                         17.101.140.0    08/24/2023
HIDClass           iaPreciseTouch.inf                      2.1.0.59        07/30/2019
HIDClass           SurfaceDockIntegration.inf              1.24.139.0      07/24/2019
HIDClass           SurfaceHidMiniDriver.inf                3.31.139.0      10/16/2020
HIDClass           SurfacePen217Integration.inf            1.5.139.0       08/02/2019
HIDClass           SurfaceTconDriver.inf                   3.50.139.0      08/22/2019
HIDClass           SurfaceVirtualFunctionEnum.inf          1.18.139.0      08/10/2019
MEDIA              HDXSSTM2.inf                            6.0.9249.2      10/08/2021
MEDIA              IntcBTAu.inf                            10.24.0.7927    08/02/2022
MEDIA              IntcDAud.inf                            10.26.0.12      11/21/2021
MEDIA              IntcDAud.inf                            10.27.0.12      11/21/2021
MEDIA              IntcDAud.inf                            11.1.0.20       11/21/2021
MEDIA              IntcDAud.inf                            11.2.0.10       11/21/2021
